Rk,Player,League,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
545,Son,La Liga,es ESP,DF,Levante,27,1994,26,22,1971,21.9,1,0,1,1,0,0,5,1,0.9,0.9,1.3,2.2,37,96,111,0.05,0,0.05,0.05,0.05,0.04,0.06,0.1,0.04,0.1,28,18,16,7,5,17,34,50,17,11,5,6,19,47,33,1
546,David Soria,La Liga,es ESP,GK,Getafe,28,1993,38,38,3414,37.9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,50,1,0,0,0,0,1,22,2
547,Alberto Soro,La Liga,es ESP,MFFW,Granada,22,1999,16,7,578,6.4,0,0,0,0,0,0,0,0,0.8,0.8,0.5,1.3,8,21,35,0,0,0,0,0,0.12,0.08,0.2,0.12,0.2,12,10,3,6,3,1,7,14.3,6,21,2,19,3,15,4,0
548,Hugo Sotelo,La Liga,es ESP,FW,Celta Vigo,17,2003,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
549,Damián Suárez,La Liga,uy URU,DF,Getafe,33,1988,35,31,2711,30.1,0,3,3,0,0,0,13,0,0.4,0.4,3,3.4,33,116,96,0,0.1,0.1,0,0.1,0.01,0.1,0.11,0.01,0.11,74,47,34,30,10,42,91,46.2,49,46,5,41,31,105,30,0
550,Denis Suárez,La Liga,es ESP,MF,Celta Vigo,27,1994,38,33,2819,31.3,4,6,10,4,0,0,4,0,2.2,2.2,4.4,6.6,100,216,78,0.13,0.19,0.32,0.13,0.32,0.07,0.14,0.21,0.07,0.21,61,29,20,33,8,25,82,30.5,57,32,4,28,16,77,11,0
551,Luis Suárez,La Liga,uy URU,FW,Atlético Madrid,34,1987,35,20,1835,20.4,11,2,13,9,2,3,7,0,10,7.7,1.3,8.9,16,40,105,0.54,0.1,0.64,0.44,0.54,0.49,0.06,0.55,0.38,0.44,8,5,2,4,2,2,10,20,8,8,1,7,1,9,14,0
552,Mario Suárez,La Liga,es ESP,DF,Rayo Vallecano,34,1987,14,8,712,7.9,0,0,0,0,0,0,2,0,1,1,0,1,5,24,2,0,0,0,0,0,0.12,0,0.13,0.12,0.13,9,4,7,2,0,3,9,33.3,6,6,4,2,7,16,37,1
553,Suso,La Liga,es ESP,FW,Sevilla,27,1993,8,6,384,4.3,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,9,18,39,0,0.23,0.23,0,0.23,0.08,0.04,0.12,0.08,0.12,4,3,1,3,0,3,13,23.1,10,4,0,4,0,4,0,0
554,Mamadou Sylla,La Liga,sn SEN,FWMF,Alavés,27,1994,13,4,394,4.4,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,5,4,29,0,0,0,0,0,0.1,0.03,0.12,0.1,0.12,2,2,0,1,1,0,1,0,1,0,0,0,1,3,5,0
