Rk,Player,League,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
380,Steve Mandanda,Ligue 1,fr FRA,GK,Marseille,36,1985,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,4,1
381,Reinildo Mandava,Ligue 1,mz MOZ,DF,Lille,27,1994,18,18,1524,16.9,1,0,1,1,0,0,7,0,0.5,0.5,0.2,0.6,38,65,64,0.06,0,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04,43,23,29,11,3,32,51,62.7,19,13,4,9,37,80,55,0
382,Anthony Mandrea,Ligue 1,dz ALG,GK,Angers,24,1996,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,0
383,Eliaquim Mangala,Ligue 1,fr FRA,DF,Saint-Étienne,30,1991,14,14,1179,13.1,1,0,1,1,0,0,9,0,0.5,0.5,0,0.5,3,24,1,0.08,0,0.08,0.08,0.08,0.04,0,0.04,0.04,0.04,17,12,12,5,0,8,12,66.7,4,11,8,3,17,34,61,1
384,Thomas Mangani,Ligue 1,fr FRA,MF,Angers,34,1987,33,25,2193,24.4,7,2,9,1,6,6,6,0,5.7,0.9,1.3,2.2,8,165,31,0.29,0.08,0.37,0.04,0.12,0.23,0.05,0.28,0.04,0.09,58,30,23,34,1,31,68,45.6,37,38,11,27,36,94,29,0
385,Ricardo Mangas,Ligue 1,pt POR,DF,Bordeaux,23,1998,29,27,2353,26.1,3,1,4,3,0,0,2,0,1.7,1.7,0.6,2.4,55,89,110,0.11,0.04,0.15,0.11,0.15,0.07,0.02,0.09,0.07,0.09,35,22,22,8,5,26,41,63.4,15,18,4,14,25,60,47,3
386,Myziane Maolida,Ligue 1,fr FRA,MF,Nice,22,1999,1,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0.1,0,0.1,0.1,0.1,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0
387,Sekou Mara,Ligue 1,fr FRA,FWMF,Bordeaux,19,2002,26,8,905,10.1,6,0,6,5,1,1,2,0,5.1,4.4,0.7,5,7,15,47,0.6,0,0.6,0.5,0.5,0.51,0.07,0.58,0.43,0.5,8,4,1,1,6,1,8,12.5,7,7,0,7,2,10,6,0
388,Marcelo,Ligue 1,br BRA,DF,Bordeaux,34,1987,11,11,898,10,0,0,0,0,0,0,4,0,0.2,0.2,0.2,0.3,4,28,1,0,0,0,0,0,0.02,0.02,0.03,0.02,0.03,9,5,7,2,0,4,6,66.7,2,4,3,1,13,22,46,1
389,Marcelo,Ligue 1,br BRA,DF,Lyon,34,1987,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,1,11,1,0,0,0,0,0,0.02,0,0.02,0.02,0.02,4,3,0,4,0,4,6,66.7,2,3,2,1,4,8,10,0
