Rk,Player,League,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
191,Mohamed Fares,Seria A,dz ALG,DFFW,Genoa,25,1996,9,6,587,6.5,2,1,3,2,0,0,2,0,1.1,1.1,0.7,1.8,16,15,22,0.31,0.15,0.46,0.31,0.46,0.17,0.11,0.28,0.17,0.28,4,2,1,3,0,0,4,0,4,8,3,5,8,12,11,0
192,Diego Farias,Seria A,br BRA,MFFW,Cagliari,31,1990,4,0,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0.06,0,0.06,0.06,0.06,1,1,0,1,0,1,3,33.3,2,0,0,0,0,1,0,0
193,Andrea Favilli,Seria A,it ITA,FW,Genoa,24,1997,1,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,0,0,0,0,0,1,2,0
194,Federico Fazio,Seria A,ar ARG,DF,Salernitana,34,1987,16,16,1434,15.9,1,0,1,1,0,0,3,1,1.5,1.5,0.4,1.8,19,40,6,0.06,0,0.06,0.06,0.06,0.09,0.02,0.12,0.09,0.12,17,11,10,6,1,9,12,75,3,21,16,5,27,44,67,1
195,Luiz Felipe,Seria A,it ITA,DF,Lazio,24,1997,31,28,2491,27.7,0,0,0,0,0,0,9,1,0.3,0.3,0.2,0.5,12,78,1,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,41,23,21,16,4,20,34,58.8,14,40,33,7,33,74,102,1
196,Alex Ferrari,Seria A,it ITA,DF,Sampdoria,27,1994,23,20,1643,18.3,1,0,1,1,0,0,4,0,0.6,0.6,0,0.6,7,39,5,0.05,0,0.05,0.05,0.05,0.03,0,0.03,0.03,0.03,40,22,28,9,3,19,33,57.6,14,31,22,9,39,79,63,1
197,Salvador Ferrer,Seria A,es ESP,DFMF,Spezia,23,1998,27,14,1495,16.6,0,3,3,0,0,0,3,0,0.2,0.2,1.3,1.6,24,67,52,0,0.18,0.18,0,0.18,0.01,0.08,0.09,0.01,0.09,32,18,15,9,8,12,25,48,13,24,12,12,18,50,46,0
198,Riccardo Fiamozzi,Seria A,it ITA,DF,Empoli,28,1993,10,7,620,6.9,0,1,1,0,0,0,1,0,0,0,0.6,0.6,10,23,14,0,0.15,0.15,0,0.15,0,0.09,0.09,0,0.09,7,5,2,2,3,2,4,50,2,6,5,1,7,14,12,0
199,Luca Fiordilino,Seria A,it ITA,MF,Venezia,25,1996,15,5,661,7.3,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.6,3,23,10,0,0,0,0,0,0.03,0.06,0.09,0.03,0.09,21,13,11,6,4,13,27,48.1,14,14,4,10,11,32,12,0
200,Vincenzo Fiorillo,Seria A,it ITA,GK,Salernitana,31,1990,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
201,Alessandro Florenzi,Seria A,it ITA,DFFW,Milan,30,1991,24,12,1152,12.8,2,0,2,2,0,0,2,0,0.7,0.7,0.9,1.6,30,68,51,0.16,0,0.16,0.16,0.16,0.06,0.07,0.13,0.06,0.13,28,14,14,7,7,14,32,43.8,18,9,2,7,27,55,10,1
202,Fernando Forestieri,Seria A,it ITA,FWMF,Udinese,31,1990,4,0,58,0.6,2,1,3,2,0,0,1,0,1.1,1.1,0,1.2,2,3,8,3.1,1.55,4.66,3.1,4.66,1.75,0.08,1.82,1.75,1.82,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0
203,Francesco Forte,Seria A,it ITA,FW,Venezia,28,1993,12,4,422,4.7,1,0,1,1,0,0,3,0,1,1,0.6,1.6,3,7,16,0.21,0,0.21,0.21,0.21,0.23,0.14,0.37,0.23,0.37,3,2,0,2,1,2,5,40,3,1,0,1,0,3,2,0
204,Gianluca Frabotta,Seria A,it ITA,DFMF,Hellas Verona,22,1999,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0
205,Davide Frattesi,Seria A,it ITA,MF,Sassuolo,21,1999,36,35,2854,31.7,4,3,7,4,0,0,6,0,5.9,5.9,3.6,9.6,79,113,104,0.13,0.09,0.22,0.13,0.22,0.19,0.11,0.3,0.19,0.3,46,16,26,18,2,26,52,50,26,44,12,32,29,75,62,1
206,Morten Frendrup,Seria A,dk DEN,DFMF,Genoa,20,2001,10,6,695,7.7,0,0,0,0,0,0,1,0,0.5,0.5,0.4,0.9,13,25,9,0,0,0,0,0,0.06,0.05,0.11,0.06,0.11,40,24,19,13,8,13,29,44.8,16,19,2,17,17,57,7,1
207,Remo Freuler,Seria A,ch SUI,MF,Atalanta,29,1992,29,28,2369,26.3,1,3,4,1,0,0,10,0,1.4,1.4,1.4,2.8,52,208,59,0.04,0.11,0.15,0.04,0.15,0.05,0.05,0.11,0.05,0.11,69,39,22,33,14,30,70,42.9,40,48,8,40,35,104,26,1
208,Matteo Gabbia,Seria A,it ITA,DF,Milan,21,1999,8,6,537,6,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.1,3,22,1,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,4,3,1,3,0,0,4,0,4,2,2,0,8,12,12,0
209,Manolo Gabbiadini,Seria A,it ITA,FWMF,Sampdoria,29,1991,18,15,1140,12.7,6,2,8,6,0,0,3,0,3.9,3.9,2,5.9,13,29,57,0.47,0.16,0.63,0.47,0.63,0.31,0.16,0.46,0.31,0.46,6,4,3,2,1,1,7,14.3,6,5,2,3,3,9,10,0
210,Gianluca Gaetano,Seria A,it ITA,MF,Napoli,21,2000,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,50,1,0,0,0,2,3,0,0
211,Luca Gagliano,Seria A,it ITA,FWDF,Cagliari,21,2000,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
212,Roberto Gagliardini,Seria A,it ITA,MF,Inter,27,1994,18,6,649,7.2,2,2,4,2,0,0,2,0,0.9,0.9,1.5,2.4,8,33,31,0.28,0.28,0.55,0.28,0.55,0.13,0.21,0.34,0.13,0.34,12,6,7,4,1,1,13,7.7,12,14,5,9,9,21,7,0
213,Riccardo Gagliolo,Seria A,se SWE,DF,Salernitana,31,1990,17,12,1138,12.6,0,1,1,0,0,0,2,0,0.5,0.5,0.6,1.1,10,46,8,0,0.08,0.08,0,0.08,0.04,0.05,0.09,0.04,0.09,23,12,16,4,3,16,27,59.3,11,15,8,7,28,51,52,0
214,Nicolas Galazzi,Seria A,it ITA,MF,Venezia,20,2000,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0
215,Pablo Galdames Millán,Seria A,cl CHI,MF,Genoa,24,1996,19,11,1028,11.4,0,0,0,0,0,0,2,0,0.5,0.5,1,1.5,4,45,22,0,0,0,0,0,0.04,0.09,0.13,0.04,0.13,28,12,6,16,6,12,35,34.3,23,16,2,14,8,36,9,1
216,Luca Gemello,Seria A,it ITA,GK,Torino,21,2000,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
217,Paolo Ghiglione,Seria A,it ITA,DF,Genoa,24,1997,13,6,603,6.7,0,1,1,0,0,0,3,0,0.6,0.6,1,1.6,13,20,32,0,0.15,0.15,0,0.15,0.09,0.15,0.24,0.09,0.24,17,12,8,6,3,9,14,64.3,5,11,5,6,10,27,12,1
218,Faouzi Ghoulam,Seria A,dz ALG,DF,Napoli,30,1991,14,3,332,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,10,19,19,0,0,0,0,0,0.03,0.1,0.13,0.03,0.13,3,1,1,2,0,0,3,0,3,2,1,1,3,6,10,0
219,Sebastian Giovinco,Seria A,it ITA,MF,Sampdoria,34,1987,2,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0.08,0,0.08,0.08,0.08,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
220,Olivier Giroud,Seria A,fr FRA,FW,Milan,34,1986,29,22,1892,21,11,3,14,9,2,2,4,0,9.8,8.3,2.3,10.6,8,23,102,0.52,0.14,0.67,0.43,0.57,0.47,0.11,0.58,0.39,0.5,15,11,4,6,5,3,17,17.6,14,13,4,9,3,18,19,0
221,Diego Godín,Seria A,uy URU,DF,Cagliari,35,1986,11,9,818,9.1,0,1,1,0,0,0,3,0,0.4,0.4,0.1,0.5,4,22,1,0,0.11,0.11,0,0.11,0.04,0.02,0.06,0.04,0.06,18,7,13,3,2,10,15,66.7,5,7,5,2,13,31,46,0
222,Edoardo Goldaniga,Seria A,it ITA,DF,Cagliari,27,1993,11,11,934,10.4,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.5,3,35,12,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,12,5,7,5,0,4,11,36.4,7,8,5,3,22,34,23,0
223,Edoardo Goldaniga,Seria A,it ITA,DFMF,Sassuolo,27,1993,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
224,Cedric Gondo,Seria A,ci CIV,FW,Salernitana,24,1996,14,10,699,7.8,1,0,1,1,0,0,1,0,1.7,1.7,0.5,2.2,15,12,74,0.13,0,0.13,0.13,0.13,0.22,0.06,0.28,0.22,0.28,5,2,2,2,1,2,5,40,3,2,0,2,3,8,2,0
225,Nicolás González,Seria A,ar ARG,FW,Fiorentina,23,1998,33,26,2357,26.2,7,6,13,4,3,3,4,1,10.1,7.7,4.2,12,97,91,210,0.27,0.23,0.5,0.15,0.38,0.39,0.16,0.55,0.3,0.46,21,16,6,8,7,9,28,32.1,19,26,2,24,21,42,4,1
226,Robin Gosens,Seria A,de GER,DF,Atalanta,27,1994,6,5,460,5.1,1,0,1,1,0,0,2,0,1.7,1.7,0.4,2,8,28,24,0.2,0,0.2,0.2,0.2,0.33,0.07,0.4,0.33,0.4,7,3,3,4,0,4,8,50,4,4,0,4,9,16,1,0
227,Robin Gosens,Seria A,de GER,DF,Inter,27,1994,7,0,169,1.9,0,1,1,0,0,0,1,0,0.2,0.2,0.6,0.8,4,7,19,0,0.53,0.53,0,0.53,0.12,0.34,0.45,0.12,0.45,3,1,1,2,0,0,0,,0,5,2,3,3,6,3,0
228,Alberto Grassi,Seria A,it ITA,MF,Cagliari,26,1995,30,26,2174,24.2,0,1,1,0,0,0,6,1,1.1,1.1,2,3.1,13,76,25,0,0.04,0.04,0,0.04,0.05,0.08,0.13,0.05,0.13,47,26,13,30,4,16,38,42.1,22,27,9,18,63,110,33,1
229,Koray Günter,Seria A,de GER,DF,Hellas Verona,26,1994,30,29,2411,26.8,0,0,0,0,0,0,10,0,0.3,0.3,0.7,1,10,106,3,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,32,18,19,11,2,16,32,50,16,27,21,6,69,101,110,1
230,Albert Guðmundsson,Seria A,is ISL,FWMF,Genoa,24,1997,12,6,607,6.7,1,0,1,1,0,0,3,0,1.3,1.3,0.8,2.1,14,15,45,0.15,0,0.15,0.15,0.15,0.19,0.13,0.31,0.19,0.31,5,3,2,1,2,3,8,37.5,5,2,0,2,5,10,4,0
231,Emmanuel Gyasi,Seria A,gh GHA,FWMF,Spezia,27,1994,36,35,3035,33.7,6,0,6,6,0,0,10,0,5.6,5.6,1.4,7,44,42,145,0.18,0,0.18,0.18,0.18,0.17,0.04,0.21,0.17,0.21,47,30,31,9,7,21,41,51.2,20,22,4,18,16,63,43,1
232,Norbert Gyömbér,Seria A,sk SVK,DF,Salernitana,29,1992,31,30,2563,28.5,0,0,0,0,0,0,9,0,0.6,0.6,0.6,1.2,5,66,12,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,53,32,40,11,2,33,50,66,17,38,24,14,44,97,126,1
233,Nicolas Haas,Seria A,ch SUI,MF,Empoli,25,1996,16,11,1001,11.1,0,2,2,0,0,0,3,0,0.3,0.3,1,1.3,8,57,49,0,0.18,0.18,0,0.18,0.03,0.09,0.12,0.03,0.12,35,22,15,10,10,17,39,43.6,22,24,4,20,9,44,17,1
