Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
203,Hugo Ekitike,fr FRA,FW,Reims,19,2002,14.1,18,10,8,6,4,4,11,36.4,7,9,2,7,6,24,15,0
204,Alberth Elis,hn HON,FWMF,Bordeaux,25,1996,15.7,19,10,5,5,9,11,25,44,14,9,0,9,7,26,10,0
205,Sepe Elye Wahi,fr FRA,FW,Montpellier,18,2003,19.8,18,10,9,6,3,6,16,37.5,10,7,0,7,4,22,4,0
206,Renaud Emond,be BEL,FWMF,Nantes,29,1991,2.1,1,0,0,1,0,0,4,0,4,2,1,1,0,1,1,0
207,Maxime Estève,fr FRA,DF,Montpellier,19,2002,20.6,27,18,22,4,1,15,27,55.6,12,31,24,7,22,49,69,1
208,Fábio,br BRA,DF,Nantes,31,1990,18.5,61,40,31,23,7,36,74,48.6,38,29,7,22,35,96,31,1
209,Cesc Fàbregas,es ESP,MF,Monaco,34,1987,0.4,1,0,0,1,0,1,1,100,0,0,0,0,1,2,0,0
210,Wout Faes,be BEL,DF,Reims,23,1998,37,40,24,30,9,1,25,33,75.8,8,47,37,10,53,93,169,2
211,Romain Faivre,fr FRA,FWMF,Lyon,23,1998,9.9,10,4,2,6,2,4,13,30.8,9,4,0,4,3,13,2,0
212,Romain Faivre,fr FRA,MF,Brest,23,1998,19.9,30,18,12,13,5,12,30,40,18,11,0,11,13,43,10,0
213,Wuilker Faríñez,ve VEN,GK,Lens,23,1998,12.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
214,Noah Fatar,fr FRA,DFMF,Angers,19,2002,0.1,1,0,0,0,1,0,1,0,1,0,0,0,1,2,0,0
215,Julien Faussurier,fr FRA,MFDF,Brest,34,1987,5.4,10,6,3,3,4,6,13,46.2,7,12,1,11,5,15,6,0
216,Jordan Ferri,fr FRA,MF,Montpellier,29,1992,32.3,55,35,28,23,4,29,87,33.3,58,21,5,16,30,85,35,0
217,Karol Fila,pl POL,DF,Strasbourg,23,1998,6.2,10,8,5,4,1,4,8,50,4,7,2,5,4,14,6,0
218,Alexis Flips,fr FRA,MFDF,Reims,21,2000,11.7,37,21,21,9,7,22,45,48.9,23,21,0,21,24,61,17,0
219,Mamadou Fofana,ml MLI,DF,Metz,23,1998,0.4,1,1,0,1,0,1,2,50,1,2,1,1,1,2,2,0
220,Seko Fofana,ci CIV,MF,Lens,26,1995,37.3,27,19,11,13,3,12,58,20.7,46,24,2,22,26,53,17,1
221,Youssouf Fofana,fr FRA,MF,Monaco,22,1999,24.3,69,43,19,41,9,29,56,51.8,27,29,7,22,32,101,22,2
222,Thomas Foket,be BEL,DFFW,Reims,26,1994,24.8,28,19,12,13,3,18,40,45,22,26,4,22,33,61,35,0
223,Thomas Fontaine,mg MAD,DF,Lorient,30,1991,1.9,2,0,1,0,1,0,1,0,1,3,3,0,2,4,4,0
224,José Fonte,pt POR,DF,Lille,37,1983,38,23,12,14,7,2,11,25,44,14,39,32,7,44,67,159,1
225,Steven Fortes,cv CPV,DF,Lens,29,1992,1,2,0,2,0,0,1,2,50,1,2,1,1,0,2,4,0
226,Przemysław Frankowski,pl POL,DF,Lens,26,1995,27.2,57,39,22,27,8,36,74,48.6,38,27,0,27,28,85,52,0
227,Fransérgio,br BRA,MF,Bordeaux,30,1990,14,24,10,8,12,4,12,43,27.9,31,18,6,12,23,47,23,0
228,Angelo Fulgini,fr FRA,MFFW,Angers,24,1996,32.5,35,25,8,18,9,14,44,31.8,30,21,5,16,22,57,5,1
229,Gauthier Gallon,fr FRA,GK,Troyes,28,1993,31,3,0,3,0,0,1,1,100,0,0,0,0,2,5,12,1
230,Kévin Gameiro,fr FRA,FW,Strasbourg,34,1987,26.5,19,10,5,9,5,6,18,33.3,12,22,1,21,6,25,1,0
231,Idrissa Gana Gueye,sn SEN,MF,Paris S-G,31,1989,18.2,60,36,24,24,12,18,44,40.9,26,23,4,19,24,84,13,0
232,Ignatius Ganago,cm CMR,FW,Lens,22,1999,11.4,3,2,1,2,0,2,6,33.3,4,4,0,4,2,5,3,0
233,Djeidi Gassama,fr FRA,FW,Paris S-G,17,2003,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
234,Johan Gastien,fr FRA,MF,Clermont Foot,33,1988,30.5,56,34,26,25,5,27,74,36.5,47,45,11,34,53,109,49,1
235,Valère Germain,fr FRA,FW,Montpellier,31,1990,21.9,23,14,6,11,6,8,31,25.8,23,13,1,12,9,32,27,0
236,Gerson,br BRA,MFFW,Marseille,24,1997,28.3,42,17,16,20,6,8,35,22.9,27,26,4,22,16,58,16,2
237,Willem Geubbels,fr FRA,FWMF,Nantes,19,2001,6,8,5,4,2,2,5,12,41.7,7,5,0,5,6,14,5,0
238,Ismaël Gharbi,es ESP,FW,Paris S-G,17,2004,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
239,Lamine Ghezali,fr FRA,DF,Saint-Étienne,22,1999,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
240,Nicholas Gioacchini,us USA,FWMF,Montpellier,21,2000,5.5,7,5,3,2,2,4,10,40,6,8,0,8,4,11,5,0
241,Jimmy Giraudon,fr FRA,DF,Troyes,29,1992,18,14,6,10,4,0,7,22,31.8,15,24,14,10,37,51,68,1
242,Andrei Girotto,br BRA,DFMF,Nantes,29,1992,35,85,52,49,32,4,52,103,50.5,51,67,33,34,69,154,143,0
243,Aleksandr Golovin,ru RUS,FWMF,Monaco,25,1996,16.7,40,22,10,18,12,18,41,43.9,23,26,1,25,12,52,8,0
244,Angel Gomes,eng ENG,MFFW,Lille,20,2000,10.6,23,13,6,12,5,10,15,66.7,5,4,0,4,3,26,4,0
245,Alfred Gomis,sn SEN,GK,Rennes,27,1993,25,1,0,1,0,0,1,2,50,1,0,0,0,1,2,8,2
246,Vagner Gonçalves,cv CPV,FW,Metz,25,1996,1,2,1,0,2,0,1,1,100,0,0,0,0,1,3,0,0
247,Álvaro González,es ESP,DF,Marseille,31,1990,5,1,1,1,0,0,1,1,100,0,0,0,0,1,2,9,0
248,Amine Gouiri,fr FRA,FWMF,Nice,21,2000,30.6,22,13,2,13,7,10,32,31.3,22,22,5,17,11,33,17,1
249,Lucas Gourna-Douath,fr FRA,MF,Saint-Étienne,17,2003,20,45,26,22,18,5,21,36,58.3,15,22,3,19,13,58,9,2
250,Jonathan Gradit,fr FRA,DF,Lens,28,1992,34.1,60,28,24,28,8,25,45,55.6,20,39,27,12,65,125,106,0
251,Andrew Gravillon,gp GLP,DF,Reims,23,1998,23.7,32,24,19,13,0,17,27,63,10,25,15,10,33,65,83,1
252,Adrian Grbić,at AUT,FWMF,Lorient,24,1996,5.8,2,1,0,2,0,2,6,33.3,4,3,1,2,0,2,7,0
253,Ivo Grbić,hr CRO,GK,Lille,25,1996,21,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,1
254,Etienne Green,eng ENG,GK,Saint-Étienne,21,2000,13.3,1,1,1,0,0,0,0,,0,0,0,0,1,2,9,0
255,Gabriel Gudmundsson,se SWE,DFMF,Lille,22,1999,14.9,43,31,24,16,3,17,35,48.6,18,15,3,12,20,63,13,0
256,Noah Guede-Nadje,fr FRA,MF,Angers,17,2003,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
257,Mattéo Guendouzi,fr FRA,MF,Marseille,22,1999,35,45,30,10,26,9,13,47,27.7,34,15,1,14,16,61,18,0
258,Yanis Guermouche,fr FRA,MFFW,Montpellier,20,2001,0.1,2,1,0,1,1,1,1,100,0,0,0,0,0,2,0,0
259,Evann Guessand,fr FRA,FW,Nice,20,2001,4.9,9,8,2,5,2,3,8,37.5,5,4,0,4,0,9,1,0
260,Lamine Gueye,sn SEN,FWMF,Metz,23,1998,6.2,5,5,1,1,3,3,7,42.9,4,4,0,4,6,11,1,0
261,Pape Gueye,sn SEN,MF,Marseille,22,1999,17,38,19,15,22,1,16,31,51.6,15,15,3,12,24,62,16,0
262,Josuha Guilavogui,fr FRA,MFDF,Bordeaux,30,1990,14.8,39,16,18,17,4,14,29,48.3,15,16,8,8,36,75,23,0
263,Frederic Guilbert,fr FRA,DF,Strasbourg,26,1994,28,69,39,33,24,12,32,62,51.6,30,37,11,26,55,124,39,0
264,Bruno Guimarães,br BRA,MF,Lyon,23,1997,18.2,50,31,20,25,5,23,59,39,36,21,4,17,21,71,11,1
265,Sehrou Guirassy,gn GUI,FW,Rennes,25,1996,11.3,4,2,1,2,1,1,7,14.3,6,4,0,4,1,5,8,0
266,Malo Gusto,fr FRA,DF,Lyon,18,2003,20.9,55,35,29,21,5,24,40,60,16,21,6,15,33,88,41,1
267,Massadio Haïdara,ml MLI,DF,Lens,28,1992,12,28,21,18,7,3,15,24,62.5,9,18,4,14,22,50,31,0
268,Oualid El Hajjam,ma MAR,DF,Troyes,30,1991,11.9,22,11,12,6,4,15,23,65.2,8,12,6,6,22,44,28,0
269,Achraf Hakimi,ma MAR,DF,Paris S-G,22,1998,27.5,74,51,38,27,9,40,72,55.6,32,26,5,21,28,102,23,2
270,Pierre-Yves Hamel,fr FRA,FWMF,Lorient,27,1994,0.3,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,0
271,Pierre-Yves Hamel,fr FRA,FW,Clermont Foot,27,1994,5.8,11,6,0,5,6,5,6,83.3,1,2,1,1,0,11,0,0
272,Romain Hamouma,fr FRA,FWMF,Saint-Étienne,34,1987,9.8,10,7,1,5,4,2,13,15.4,11,8,0,8,4,14,1,0
273,Amine Harit,ma MAR,FWMF,Marseille,24,1997,12.9,18,11,9,9,0,9,17,52.9,8,10,0,10,4,22,2,0
274,Henrique,br BRA,DF,Lyon,27,1994,12.3,13,7,10,1,2,5,16,31.3,11,13,1,12,22,35,14,0
275,Luis Henrique,br BRA,FWMF,Marseille,19,2001,7.8,4,3,2,1,1,2,5,40,3,2,0,2,5,9,1,0
276,Christophe Hérelle,mq MTQ,DF,Brest,28,1992,21.5,48,28,30,16,2,17,26,65.4,9,20,15,5,44,92,84,1
277,Jérôme Hergault,fr FRA,DF,Lorient,35,1986,3.9,3,1,1,2,0,2,5,40,3,4,1,3,4,7,7,0
278,Ander Herrera,es ESP,MF,Paris S-G,31,1989,12.1,29,17,7,16,6,14,39,35.9,25,22,8,14,14,43,8,0
279,Franck Honorat,fr FRA,FWMF,Brest,24,1996,32.2,54,38,25,13,16,27,47,57.4,20,24,2,22,15,69,25,0
280,Fraser Hornby,sct SCO,FWMF,Reims,21,1999,3.9,3,1,1,2,0,0,2,0,2,3,0,3,4,7,5,0
281,Cédric Hountondji,bj BEN,DF,Clermont Foot,27,1994,22.6,33,17,20,12,1,16,24,66.7,8,23,12,11,34,67,76,0
282,Suk Hyun-jun,kr KOR,FWMF,Troyes,30,1991,1.7,0,0,0,0,0,0,0,,0,2,0,2,0,0,2,0
283,Mauro Icardi,ar ARG,FW,Paris S-G,28,1993,11.4,5,3,1,3,1,3,7,42.9,4,3,0,3,5,10,12,0
284,Jonathan Iglesias,uy URU,MF,Clermont Foot,32,1988,6.4,18,11,6,10,2,10,18,55.6,8,8,2,6,5,23,2,1
285,Juan Ignacio Ramírez,uy URU,FW,Saint-Étienne,24,1997,1.4,2,1,0,1,1,0,0,,0,0,0,0,0,2,0,0
286,Danylo Ihnatenko,ua UKR,MF,Bordeaux,24,1997,7.7,17,9,8,7,2,10,24,41.7,14,9,2,7,6,23,17,1
287,Jonathan Ikone,fr FRA,MFFW,Lille,23,1998,11.8,11,3,6,4,1,4,11,36.4,7,13,1,12,5,16,4,0
288,Bonke Innocent,ng NGA,MF,Lorient,25,1996,9.7,27,16,10,16,1,11,26,42.3,15,11,3,8,16,43,14,0
289,Wilson Isidor,fr FRA,FWMF,Monaco,20,2000,0.6,0,0,0,0,0,0,4,0,4,1,0,1,0,0,0,0
290,Ismail Jakobs,sn SEN,DFFW,Monaco,21,1999,13.4,32,16,14,15,3,16,35,45.7,19,16,1,15,17,49,31,0
291,Marin Jakoliš,hr CRO,FW,Angers,24,1996,2.5,2,1,0,1,1,0,6,0,6,0,0,0,1,3,0,0
292,Abdel Jalil Medioub,dz ALG,DF,Bordeaux,23,1997,6.9,9,5,5,3,1,3,4,75,1,8,4,4,12,21,34,0
293,Corentin Jean,fr FRA,FWMF,Lens,26,1995,2.8,9,6,4,4,1,3,6,50,3,5,0,5,1,10,0,0
294,Jemerson,br BRA,DF,Metz,28,1992,13.4,37,25,30,7,0,18,26,69.2,8,23,8,15,25,62,33,1
295,Moritz Jenz,de GER,DF,Lorient,22,1999,15.3,26,12,18,6,2,11,24,45.8,13,19,11,8,28,54,55,0
296,Lenny Joseph,fr FRA,FWMF,Metz,20,2000,1.7,2,1,1,1,0,0,0,,0,3,0,3,0,2,0,0
297,Issa Kaboré,bf BFA,DF,Troyes,20,2001,25,45,22,22,14,9,20,38,52.6,18,27,2,25,20,65,38,1
298,Tino Kadewere,zw ZIM,FW,Lyon,25,1996,5.6,7,5,2,2,3,4,13,30.8,9,7,0,7,4,11,1,1
299,Gaël Kakuta,cd COD,MFFW,Lens,30,1991,18.6,22,14,2,13,7,4,20,20,16,10,0,10,4,26,3,0
300,Arnaud Kalimuendo,fr FRA,FW,Paris S-G,19,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
301,Arnaud Kalimuendo,fr FRA,FW,Lens,19,2002,23.9,9,8,1,3,5,2,7,28.6,5,6,1,5,8,17,0,0
302,Samuel Kalu,ng NGA,FWMF,Bordeaux,23,1997,3.6,8,5,3,4,1,2,5,40,3,2,0,2,3,11,1,0
303,Boubacar Kamara,fr FRA,MFDF,Marseille,21,1999,30.9,68,38,27,36,5,26,47,55.3,21,29,10,19,46,114,44,1
304,Hassane Kamara,ci CIV,MFDF,Nice,27,1994,6,13,10,4,6,3,5,8,62.5,3,10,2,8,9,22,4,0
305,Jean-Armel Kana-Biyik,cm CMR,DF,Metz,32,1989,7.4,10,6,8,2,0,4,9,44.4,5,11,4,7,16,26,22,1
306,Nordine Kandil,fr FRA,MFFW,Strasbourg,19,2001,1,2,1,2,0,0,1,1,100,0,1,1,0,0,2,0,0
307,Eiji Kawashima,jp JPN,GK,Strasbourg,38,1983,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
308,Ilan Kebbal,dz ALG,MFFW,Reims,23,1998,19.7,31,15,13,10,8,12,44,27.3,32,16,0,16,13,44,3,0
309,Thilo Kehrer,de GER,DF,Paris S-G,24,1996,16.8,21,14,9,11,1,9,21,42.9,12,19,11,8,24,45,29,0
310,Habib Keita,ml MLI,MFFW,Lyon,19,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
311,Saîf-Eddine Khaoui,tn TUN,MFFW,Clermont Foot,26,1995,10.3,19,10,5,10,4,9,18,50,9,9,0,9,14,33,5,0
312,Wahbi Khazri,tn TUN,FWMF,Saint-Étienne,30,1991,24.7,33,18,7,17,9,9,34,26.5,25,21,0,21,12,45,7,0
313,Presnel Kimpembe,fr FRA,DF,Paris S-G,25,1995,28.6,34,19,18,15,1,14,23,60.9,9,20,14,6,38,72,73,1
314,Thibault Klidje,tg TOG,MFFW,Bordeaux,20,2001,1,0,0,0,0,0,0,1,0,1,1,1,0,2,2,0,0
315,Justin Kluivert,nl NED,MF,Nice,22,1999,20.8,19,9,6,12,1,5,21,23.8,16,13,1,12,14,33,6,0
316,Samuel Koeberlé,fr FRA,FW,Reims,16,2004,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
317,Philippe Koffi,fr FRA,FW,Reims,19,2002,4.2,4,0,0,3,1,0,2,0,2,2,1,1,3,7,3,0
318,Sead Kolašinac,ba BIH,DF,Marseille,28,1993,4.9,7,6,2,3,2,5,8,62.5,3,4,0,4,0,7,7,1
319,Randal Kolo Muani,fr FRA,FWMF,Nantes,22,1998,32.8,28,14,7,10,11,10,25,40,15,14,3,11,6,34,31,0
320,Timothée Kolodziejczak,fr FRA,DF,Saint-Étienne,29,1991,28.5,43,24,22,14,7,20,36,55.6,16,29,7,22,60,103,72,1
321,Ghislain Konan,ci CIV,DF,Reims,25,1995,26.9,35,19,19,15,1,16,30,53.3,14,35,8,27,28,63,45,0
322,Ibrahima Koné,ml MLI,FW,Lorient,22,1999,8.1,7,4,0,3,4,2,3,66.7,1,8,3,5,1,8,3,0
323,Youssouf Koné,ml MLI,DF,Troyes,26,1995,10.9,30,18,21,8,1,19,30,63.3,11,8,3,5,10,40,25,0
324,Laurent Koscielny,fr FRA,DF,Bordeaux,35,1985,10.4,14,9,10,3,1,8,13,61.5,5,17,12,5,12,26,39,0
325,Rominigue Kouamé,ml MLI,MF,Troyes,24,1996,33,47,22,24,20,3,19,58,32.8,39,33,5,28,46,93,22,2
326,Boubakar Kouyaté,ml MLI,DF,Metz,24,1997,29.6,84,50,56,28,0,48,77,62.3,29,63,33,30,79,163,217,3
327,Jean-Philippe Krasso,ci CIV,FW,Saint-Étienne,24,1997,5,7,5,0,5,2,2,10,20,8,7,1,6,0,7,1,0
328,Mykola Kukharevych,ua UKR,FW,Troyes,20,2001,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
329,Enock Kwateng,fr FRA,DF,Bordeaux,24,1997,22.2,54,35,31,19,4,33,72,45.8,39,17,4,13,43,97,48,1
330,Grejohn Kyei,fr FRA,FW,Clermont Foot,25,1995,4.4,3,2,1,1,1,0,6,0,6,6,0,6,0,3,1,0
331,Gaëtan Laborde,fr FRA,FW,Montpellier,27,1994,3.8,2,2,1,1,0,2,4,50,2,3,0,3,5,7,5,0
332,Gaëtan Laborde,fr FRA,FW,Rennes,27,1994,30.3,19,7,5,8,6,3,22,13.6,19,29,3,26,8,27,16,0
333,Tom Lacoux,fr FRA,DFMF,Bordeaux,19,2002,10.1,18,13,11,5,2,9,24,37.5,15,14,4,10,9,27,20,1
334,Lenny Lacroix,fr FRA,DF,Metz,18,2003,2.2,9,7,8,1,0,5,8,62.5,3,5,1,4,10,19,5,0
335,Alban Lafont,fr FRA,GK,Nantes,22,1999,38,3,3,3,0,0,3,8,37.5,5,1,0,1,1,4,25,2
336,Mohamed Lamine Bayo,gn GUI,FW,Clermont Foot,23,1998,26.8,12,5,4,3,5,3,24,12.5,21,7,1,6,7,19,14,0
337,Didier Lamkel Zé,cm CMR,FW,Metz,24,1996,6.7,3,1,1,0,2,1,3,33.3,2,3,1,2,1,4,7,0
338,Julien Laporte,fr FRA,DF,Lorient,27,1993,32.1,63,45,35,26,2,32,64,50,32,37,22,15,54,117,174,0
339,Yasser Larouci,dz ALG,DF,Troyes,20,2001,3.8,6,5,2,4,0,3,3,100,0,1,0,1,7,13,5,0
340,Paul Lasne,fr FRA,MF,Brest,32,1989,9.4,26,12,6,16,4,8,18,44.4,10,11,2,9,24,50,10,0
341,Armand Lauriente,fr FRA,FWMF,Lorient,22,1998,27.5,33,18,9,16,8,11,30,36.7,19,27,2,25,15,48,3,0
342,Théo Le Bris,fr FRA,MF,Lorient,18,2002,0.7,2,1,1,1,0,1,2,50,1,2,0,2,0,2,1,0
343,Jérémy Le Douaron,fr FRA,FWMF,Brest,23,1998,16.1,11,5,4,4,3,1,17,5.9,16,15,0,15,4,15,14,0
344,Enzo Le Fée,fr FRA,MFFW,Lorient,21,2000,24.4,70,44,25,36,9,41,90,45.6,49,25,1,24,29,99,18,0
345,Vincent Le Goff,fr FRA,DF,Lorient,31,1989,34,61,38,38,19,4,37,62,59.7,25,18,3,15,37,98,50,0
346,Maxime Le Marchand,fr FRA,DF,Strasbourg,31,1989,9.6,17,8,16,1,0,8,10,80,2,9,5,4,14,31,32,0
347,Jean-Louis Leca,fr FRA,GK,Lens,35,1985,25.7,0,0,0,0,0,0,0,,0,1,0,1,1,1,11,1
348,Félix Lemaréchal,ci CIV,MF,Monaco,17,2003,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
349,Mario Lemina,ga GAB,MF,Nice,27,1993,21.9,62,35,25,33,4,28,38,73.7,10,32,9,23,48,110,37,0
350,Fabien Lemoine,fr FRA,MF,Lorient,34,1987,12.4,35,22,20,14,1,17,41,41.5,24,21,4,17,14,49,24,1
351,Léo Leroy,fr FRA,MF,Montpellier,21,2000,7,31,21,17,11,3,12,34,35.3,22,20,4,16,8,39,8,0
352,Alexandre Letellier,fr FRA,GK,Paris S-G,30,1990,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
353,Yanis Lhery,fr FRA,FWMF,Saint-Étienne,18,2003,0.8,0,0,0,0,0,0,0,,0,4,0,4,0,0,0,0
354,Dimitri Liénard,fr FRA,DFMF,Strasbourg,33,1988,22.7,71,43,40,21,10,46,77,59.7,31,12,0,12,21,92,28,0
355,Isaac Lihadji,fr FRA,MFFW,Lille,19,2002,2.6,3,3,1,1,1,1,5,20,4,1,0,1,2,5,0,0
356,Pol Lirola,es ESP,DFFW,Marseille,23,1997,19.7,28,16,15,9,4,13,28,46.4,15,15,0,15,13,41,22,0
357,Banzouzi Locko,fr FRA,MFDF,Reims,19,2002,11.2,28,19,13,11,4,14,24,58.3,10,20,8,12,14,42,15,0
358,Anthony Lopes,pt POR,GK,Lyon,30,1990,33.1,0,0,0,0,0,0,0,,0,0,0,0,3,3,12,3
359,Pau López,es ESP,GK,Marseille,26,1994,29,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,1
360,Dion Lopy,sn SEN,MF,Reims,19,2002,18.2,53,29,22,24,7,21,53,39.6,32,20,4,16,22,75,17,0
361,Samuel Loric,fr FRA,DF,Lorient,21,2000,3,7,5,2,3,2,5,8,62.5,3,2,0,2,5,12,9,0
362,Jordan Lotomba,ch SUI,DF,Nice,22,1998,19.8,33,17,21,9,3,16,30,53.3,14,17,4,13,12,45,28,0
363,Johaneko Louisjean,fr FRA,DF,Bordeaux,17,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
364,Jean Lucas,br BRA,MF,Monaco,23,1998,16.1,43,25,14,24,5,17,40,42.5,23,15,5,10,13,56,4,1
365,Castello Lukeba,fr FRA,DF,Lyon,18,2002,23.3,34,19,27,7,0,15,23,65.2,8,18,9,9,38,72,64,2
366,Levi Lumeka,eng ENG,MFFW,Troyes,22,1998,0.7,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0
367,Yannis M'Bemba,fr FRA,DFFW,Nantes,20,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
368,Deiver Machado,co COL,DFMF,Lens,27,1993,5.8,16,14,11,1,4,12,14,85.7,2,9,1,8,3,19,12,1
369,Yvann Macon,fr FRA,DF,Saint-Étienne,22,1998,17,41,22,24,14,3,16,42,38.1,26,18,4,14,18,59,27,0
370,Louis Mafouta,cf CTA,FW,Metz,27,1994,5.8,0,0,0,0,0,0,5,0,5,1,0,1,0,0,4,0
371,Hugo Magnetti,fr FRA,MF,Brest,23,1998,16.3,50,34,27,20,3,22,50,44,28,14,3,11,25,75,13,0
372,Yohann Magnin,fr FRA,MFDF,Clermont Foot,24,1997,19.1,53,31,22,26,5,24,42,57.1,18,17,7,10,20,73,36,0
373,Habib Maïga,ci CIV,MF,Metz,25,1996,14.1,47,28,29,13,5,24,48,50,24,20,7,13,14,61,18,0
374,Josh Maja,ng NGA,FW,Bordeaux,22,1998,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
375,Abdul Majeed Waris,gh GHA,FWMF,Strasbourg,29,1991,3.6,5,3,2,3,0,5,10,50,5,2,0,2,0,5,1,0
376,Lovro Majer,hr CRO,MFFW,Rennes,23,1998,20.4,32,21,9,14,9,11,42,26.2,31,26,2,24,11,43,9,0
377,Béni Makouana,cg CGO,FWMF,Montpellier,18,2002,3.6,2,2,0,0,2,0,1,0,1,1,0,1,3,5,2,0
378,Hianga Mananga Mbock,fr FRA,MF,Brest,21,1999,8.9,18,12,8,7,3,9,21,42.9,12,5,2,3,5,23,6,0
379,Vincent Manceau,fr FRA,DF,Angers,32,1989,26.2,32,19,18,13,1,14,37,37.8,23,23,6,17,32,64,72,0
380,Steve Mandanda,fr FRA,GK,Marseille,36,1985,9,0,0,0,0,0,0,1,0,1,1,0,1,1,1,4,1
381,Reinildo Mandava,mz MOZ,DF,Lille,27,1994,16.9,43,23,29,11,3,32,51,62.7,19,13,4,9,37,80,55,0
382,Anthony Mandrea,dz ALG,GK,Angers,24,1996,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,0
383,Eliaquim Mangala,fr FRA,DF,Saint-Étienne,30,1991,13.1,17,12,12,5,0,8,12,66.7,4,11,8,3,17,34,61,1
384,Thomas Mangani,fr FRA,MF,Angers,34,1987,24.4,58,30,23,34,1,31,68,45.6,37,38,11,27,36,94,29,0
385,Ricardo Mangas,pt POR,DF,Bordeaux,23,1998,26.1,35,22,22,8,5,26,41,63.4,15,18,4,14,25,60,47,3
386,Myziane Maolida,fr FRA,MF,Nice,22,1999,0.4,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0
387,Sekou Mara,fr FRA,FWMF,Bordeaux,19,2002,10.1,8,4,1,1,6,1,8,12.5,7,7,0,7,2,10,6,0
388,Marcelo,br BRA,DF,Bordeaux,34,1987,10,9,5,7,2,0,4,6,66.7,2,4,3,1,13,22,46,1
389,Marcelo,br BRA,DF,Lyon,34,1987,2,4,3,0,4,0,4,6,66.7,2,3,2,1,4,8,10,0
390,Guillermo Maripán,cl CHI,DF,Monaco,27,1994,20.4,36,24,27,9,0,20,40,50,20,21,14,7,25,61,66,1
391,Marquinhos,br BRA,DF,Paris S-G,27,1994,31.8,37,14,25,11,1,20,35,57.1,15,35,19,16,16,53,102,0
392,Jonas Martin,fr FRA,MF,Rennes,31,1990,23.4,35,20,12,21,2,19,53,35.8,34,17,3,14,22,57,28,1
393,Gelson Martins,pt POR,MFFW,Monaco,26,1995,21.2,42,27,10,26,6,21,59,35.6,38,26,1,25,17,59,4,0
394,Pape Matar Sarr,sn SEN,MF,Metz,18,2002,23.7,45,26,21,23,1,18,39,46.2,21,33,3,30,29,74,22,0
395,Eliot Matazo,be BEL,MF,Monaco,19,2002,8.8,8,7,4,4,0,2,11,18.2,9,11,3,8,13,21,9,0
396,Chrislain Matsima,fr FRA,DF,Monaco,19,2002,1.5,3,2,1,2,0,2,7,28.6,5,3,3,0,1,4,6,1
397,Azor Matusiwa,nl NED,MF,Reims,23,1998,27.4,58,32,28,26,4,26,55,47.3,29,49,19,30,62,120,43,0
398,Stephy Mavididi,eng ENG,FWMF,Montpellier,23,1998,25.5,24,13,11,7,6,14,39,35.9,25,23,2,21,8,32,11,0
399,Derek Mazou-Sacko,fr FRA,FWDF,Troyes,16,2004,0,1,0,0,0,1,1,1,100,0,0,0,0,0,1,1,0
400,Kylian Mbappé,fr FRA,FW,Paris S-G,22,1998,33.6,11,8,1,4,6,7,13,53.8,6,6,0,6,5,16,13,0
401,Amadou Mbengue,sn SEN,DFMF,Metz,19,2002,6.8,19,10,10,9,0,11,22,50,11,7,2,5,10,29,19,0
402,Jason Mbock,fr FRA,FW,Angers,21,1999,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
403,Moustapha Mbow,sn SEN,DF,Reims,21,2000,1,6,6,3,2,1,3,3,100,0,0,0,0,1,7,6,0
404,Nathanael Mbuku,fr FRA,FWMF,Reims,19,2002,15.8,14,13,4,7,3,2,8,25,6,14,0,14,11,25,4,0
405,Facundo Medina,ar ARG,DF,Lens,22,1999,28.8,61,42,34,23,4,38,62,61.3,24,24,8,16,37,98,78,3
406,Farid El Melali,dz ALG,FW,Angers,24,1997,0.2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0
